"lessonId","title","videoId","url","previousModule","previousPosition","module","position","decision","purpose","connection"
"p01-l18","Magnets and Magnetism: How to Create Electricity and Calculate Induced EMF","ZWlzuOgBERU","https://www.youtube.com/watch?v=ZWlzuOgBERU","module-01","18","module-01","18","Retained","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p01-l19","AC Theory: Producing an AC Waveform","PgmgL2R5dFE","https://www.youtube.com/watch?v=PgmgL2R5dFE","module-01","19","module-01","19","Retained","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p01-l20","AC Theory: Why is AC Called a Sine Wave?","kUIrN6jNrxo","https://www.youtube.com/watch?v=kUIrN6jNrxo","module-01","20","module-01","20","Retained","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p01-l21","How to Identify the Different Parts of a Sine Wave, Calculate Frequency and Periodic Time","YbkE937rsbw","https://www.youtube.com/watch?v=YbkE937rsbw","module-01","21","module-01","21","Retained","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p01-l22","AC Theory - Oppositions to Current Flow","IJP2s3P-SB4","https://www.youtube.com/watch?v=IJP2s3P-SB4","module-01","22","module-01","22","Retained","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p01-l23","AC Theory: The Mystery of the Coil","LXpXDga-7xM","https://www.youtube.com/watch?v=LXpXDga-7xM","module-01","23","module-01","23","Retained","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p01-transformers","Transformers: Changing Flux, Turns and Voltage","UchitHGF4n8","https://www.youtube.com/watch?v=UchitHGF4n8","","","module-01","24","Added","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.","Work through the turns ratio"
"p01-l24","AC Theory: How to Calculate Impedance and Construct an Impedance Triangle","6-Q-tMZi2fo","https://www.youtube.com/watch?v=6-Q-tMZi2fo","module-01","24","module-01","25","Retained; resequenced","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p01-l25","Capacitors in Series and Parallel","ZjBKoQf_OxI","https://www.youtube.com/watch?v=ZjBKoQf_OxI","module-01","25","module-01","26","Retained; resequenced","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p01-pf-visual","Power Factor: See Real, Reactive and Apparent Power","Tv_7XWf96gg","https://www.youtube.com/watch?v=Tv_7XWf96gg","","","module-01","27","Added","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p01-l26","AC Theory: How to Calculate Power Factor in an AC Circuit: What is Power Factor?","xp6Rv5cUQG8","https://www.youtube.com/watch?v=xp6Rv5cUQG8","module-01","26","module-01","28","Retained; resequenced","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.","Explore power-factor correction"
"p01-l27","AC Theory: How to Construct a Power Triangle and the Different Powers in an AC Circuit","6YC2_Ir-d2w","https://www.youtube.com/watch?v=6YC2_Ir-d2w","module-01","27","module-01","29","Retained; resequenced","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p06-l14","Questions from Viewers: AC Theory, How to Calculate Power Factor and Draw a Power Triangle to Scale","qBJvgN8nCqw","https://www.youtube.com/watch?v=qBJvgN8nCqw","module-06","14","module-01","30","Relocated","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p03-l14","How to Carryout Safe Isolation of a Consumer Unit (Single Phase 230 Volt Supply) AM2 or AM2S","-1j3ZlW1Ryo","https://www.youtube.com/watch?v=-1j3ZlW1Ryo","module-03","14","module-01","31","Relocated","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.","Connect safe isolation to emergency readiness"
"p01-l28","How to Measure Voltage with the Megger AVO835","U3k9LftYQQA","https://www.youtube.com/watch?v=U3k9LftYQQA","module-01","28","module-01","32","Retained; resequenced","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p01-l29","How to Measure Current with the Megger AVO835","fPxwrfci88U","https://www.youtube.com/watch?v=fPxwrfci88U","module-01","29","module-01","33","Retained; resequenced","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p01-l30","How to Measure Resistance with the Megger AVO835","l4xhlm9s-Lc","https://www.youtube.com/watch?v=l4xhlm9s-Lc","module-01","30","module-01","34","Retained; resequenced","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p01-l31","How to Use a Clip-On Ammeter/Clampmeter","zv7VZ9fzhdA","https://www.youtube.com/watch?v=zv7VZ9fzhdA","module-01","31","module-01","35","Retained; resequenced","Connect circuits, AC, transformers and power, then establish safe isolation before measurements.",""
"p02-l01","Basic Construction of Twin & Earth Cables, Flexes, SWA Cable, PVC Singles and Concentric Cables","Tl2JsE-ihjM","https://www.youtube.com/watch?v=Tl2JsE-ihjM","module-02","1","module-02","1","Retained","Recognise installation components and read the drawings that connect them.","Separate a principle from a current rule"
"p02-l02","Understanding Your Consumer Unit","pngNTsHmyY4","https://www.youtube.com/watch?v=pngNTsHmyY4","module-02","2","module-02","2","Retained","Recognise installation components and read the drawings that connect them.",""
"p02-l03","The Utimate Guide to Three Phase Electricity","9BZ_hSndQyw","https://www.youtube.com/watch?v=9BZ_hSndQyw","module-02","3","module-02","3","Retained","Recognise installation components and read the drawings that connect them.",""
"p02-l04","Earthing Arrangements TN-C-S, TN-S and TT Identified and Explained","i22OiHyWeUg","https://www.youtube.com/watch?v=i22OiHyWeUg","module-02","4","module-02","4","Retained","Recognise installation components and read the drawings that connect them.",""
"p02-l05","Earthing vs. Bonding: What's the Difference?","_e1wDq23-w0","https://www.youtube.com/watch?v=_e1wDq23-w0","module-02","5","module-02","5","Retained","Recognise installation components and read the drawings that connect them.",""
"p02-l06","Different Types of Protective Devices BS 3036, BS 1361, BSEN 60898 and BS 88 Fuses","rijmYhVeUNs","https://www.youtube.com/watch?v=rijmYhVeUNs","module-02","6","module-02","6","Retained","Recognise installation components and read the drawings that connect them.",""
"p02-l07","How Does an RCD Work? Explained using the Matrix Locktronics Kit","MfQAoPOKil8","https://www.youtube.com/watch?v=MfQAoPOKil8","module-02","7","module-02","7","Retained","Recognise installation components and read the drawings that connect them.",""
"p02-l08","What's the difference between an RCD and an RCBO? - Circuit protection.","eWaNJ-VD5m0","https://www.youtube.com/watch?v=eWaNJ-VD5m0","module-02","8","module-02","8","Retained","Recognise installation components and read the drawings that connect them.",""
"p07-l13","ELECTRICAL ENGINEER Explains Single Line Diagrams","Vfo6oKN2qFo","https://www.youtube.com/watch?v=Vfo6oKN2qFo","module-07","13","module-02","9","Relocated","Recognise installation components and read the drawings that connect them.",""
"p07-l14","Understanding Single Line, Riser, and Block Diagrams","alRPR_oevqY","https://www.youtube.com/watch?v=alRPR_oevqY","module-07","14","module-02","10","Relocated","Recognise installation components and read the drawings that connect them.",""
"p07-l15","Single Line (1-Line) or Panel Schedule?","qkQ7DEGCRIk","https://www.youtube.com/watch?v=qkQ7DEGCRIk","module-07","15","module-02","11","Relocated","Recognise installation components and read the drawings that connect them.",""
"p02-l10","METER TAILS LONGER THAN 3 METRES- Switch fuse isolators from LEWDEN","1Tq63eH-Ngg","https://www.youtube.com/watch?v=1Tq63eH-Ngg","module-02","10","module-02","12","Retained; resequenced","Recognise installation components and read the drawings that connect them.",""
"p02-l11","Connections in a 3 Phase Plug and Socket Explained","-9irkJ94xg0","https://www.youtube.com/watch?v=-9irkJ94xg0","module-02","11","module-02","13","Retained; resequenced","Recognise installation components and read the drawings that connect them.",""
"p16-l01","Essential Tools for Apprentice Electricians","yzELC1QYSog","https://www.youtube.com/watch?v=yzELC1QYSog","module-16","1","module-03","1","Relocated","Choose tools, prepare conductors and follow diagrams through to sound terminations.",""
"p03-l01","Stripping and Terminating Twin and Earth Cables (How To... My Way)","-985eGO7jyw","https://www.youtube.com/watch?v=-985eGO7jyw","module-03","1","module-03","2","Retained; resequenced","Choose tools, prepare conductors and follow diagrams through to sound terminations.",""
"p03-l02","How to Strip Flexible Cable","CqU_UEDCB9s","https://www.youtube.com/watch?v=CqU_UEDCB9s","module-03","2","module-03","3","Retained; resequenced","Choose tools, prepare conductors and follow diagrams through to sound terminations.",""
"p16-l02","The Truth About Ferrules: Overkill or Essential?","VE1THS428gM","https://www.youtube.com/watch?v=VE1THS428gM","module-16","2","module-03","4","Relocated","Choose tools, prepare conductors and follow diagrams through to sound terminations.",""
"p03-l03","How To Terminate (Connect Up) a Twin Socket Outlet BS 1363 (How to Wire a Double Socket)","PJ97M42rzfI","https://www.youtube.com/watch?v=PJ97M42rzfI","module-03","3","module-03","5","Retained; resequenced","Choose tools, prepare conductors and follow diagrams through to sound terminations.",""
"p03-l04","7 Tips You Need to Follow when Connecting Sockets","MQaX-1lXarc","https://www.youtube.com/watch?v=MQaX-1lXarc","module-03","4","module-03","6","Retained; resequenced","Choose tools, prepare conductors and follow diagrams through to sound terminations.",""
"p03-l05","Wiring Diagram For a One Way Lighting Circuit Using the 3 Plate Method - Connections Explained","fixa_1jp55c","https://www.youtube.com/watch?v=fixa_1jp55c","module-03","5","module-03","7","Retained; resequenced","Choose tools, prepare conductors and follow diagrams through to sound terminations.",""
"p03-l06","How to Wire up a Ceiling Rose Pendant - Wire Up & Connections Explained Using the 3 Plate Method","Qdd3eBVrOuk","https://www.youtube.com/watch?v=Qdd3eBVrOuk","module-03","6","module-03","8","Retained; resequenced","Choose tools, prepare conductors and follow diagrams through to sound terminations.",""
"p03-l07","How to Wire a Light Switch - Electrical Wiring","8TiFVvrKkOU","https://www.youtube.com/watch?v=8TiFVvrKkOU","module-03","7","module-03","9","Retained; resequenced","Choose tools, prepare conductors and follow diagrams through to sound terminations.",""
"p03-l08","How to Wire 2 Way Switches - Electrical Wiring","hT3rfU7XHJc","https://www.youtube.com/watch?v=hT3rfU7XHJc","module-03","8","module-03","10","Retained; resequenced","Choose tools, prepare conductors and follow diagrams through to sound terminations.",""
"p03-l09","2 Way and Intermediate Lighting Wiring Diagram","-XsA9GuP4m8","https://www.youtube.com/watch?v=-XsA9GuP4m8","module-03","9","module-03","11","Retained; resequenced","Choose tools, prepare conductors and follow diagrams through to sound terminations.",""
"p03-l10","On-Site with Matt Wiring a Spurred Socket form a Ring Final Circuit (How to Spur Socket from a Ring)","Dq0px1SHlpc","https://www.youtube.com/watch?v=Dq0px1SHlpc","module-03","10","module-03","12","Retained; resequenced","Choose tools, prepare conductors and follow diagrams through to sound terminations.",""
"p03-l11","New Build Method of Wiring LED Downlights Explained","hXhybaPYOf4","https://www.youtube.com/watch?v=hXhybaPYOf4","module-03","11","module-03","13","Retained; resequenced","Choose tools, prepare conductors and follow diagrams through to sound terminations.",""
"p03-l13","How to Set Up and Use a Torque Screwdriver for all the Connections in a Consumer Unit (Fuse Box)","DGc4PAXHAyA","https://www.youtube.com/watch?v=DGc4PAXHAyA","module-03","13","module-03","14","Retained; resequenced","Choose tools, prepare conductors and follow diagrams through to sound terminations.",""
"p03-l12","Connecting up a Consumer Unit Wired in PVC Singles - Fitting MCBs and Using a Torque Screwdriver","62lEhAuzeAI","https://www.youtube.com/watch?v=62lEhAuzeAI","module-03","12","module-03","15","Retained; resequenced","Choose tools, prepare conductors and follow diagrams through to sound terminations.",""
"p04-l02","Do You Know Your PVC Conduit - Sizes, Types, Colour, Saddles, Expansion Coupler & Boxes - Explained","TsGD6mjsbbI","https://www.youtube.com/watch?v=TsGD6mjsbbI","module-04","2","module-04","1","Retained; resequenced","Progress from conduit and capacity to cable construction, glanding and installation methods.",""
"p04-l03","How to Bend PVC Conduit to 90 Degrees (Right Angle) My Way. Video to Inspire my Level 1 Learners","n4g153JhVnc","https://www.youtube.com/watch?v=n4g153JhVnc","module-04","3","module-04","2","Retained; resequenced","Progress from conduit and capacity to cable construction, glanding and installation methods.",""
"p04-l01","Tools you will Need When Working with Metal Conduit","Fm49nuIBOy4","https://www.youtube.com/watch?v=Fm49nuIBOy4","module-04","1","module-04","3","Retained; resequenced","Progress from conduit and capacity to cable construction, glanding and installation methods.",""
"p04-l04","Do You Know Your - Steel Conduit Sizes, Types, Finishes, Saddles, Accessorises and Boxes?","uNbQVALYtdI","https://www.youtube.com/watch?v=uNbQVALYtdI","module-04","4","module-04","4","Retained","Progress from conduit and capacity to cable construction, glanding and installation methods.",""
"p04-l05","How to Cut and Thread Steel Conduit so a Coupler or Spouted box can be Fitted (Metal Conduit 20mm)","Bi5OwbjWzM4","https://www.youtube.com/watch?v=Bi5OwbjWzM4","module-04","5","module-04","5","Retained","Progress from conduit and capacity to cable construction, glanding and installation methods.",""
"p04-l06","How to Bend Steel Conduit to the Correct Measurement from the End of the Conduit to Back of the Bend","rXlmfKzFR_Y","https://www.youtube.com/watch?v=rXlmfKzFR_Y","module-04","6","module-04","6","Retained","Progress from conduit and capacity to cable construction, glanding and installation methods.",""
"p04-l07","How to Make a Flat Bend (90 Degree Bend) in 50 x 50 Steel Trunking for C and G 5357 Assessment","IHiuQmGNKLY","https://www.youtube.com/watch?v=IHiuQmGNKLY","module-04","7","module-04","7","Retained","Progress from conduit and capacity to cable construction, glanding and installation methods.",""
"p04-l08","How to Bend Cable Tray","VO605Vb1Zbg","https://www.youtube.com/watch?v=VO605Vb1Zbg","module-04","8","module-04","8","Retained","Progress from conduit and capacity to cable construction, glanding and installation methods.",""
"p04-l09","How to Workout the Cable Capacities of Conduit Appendix E On-Site Guide BS 7671 Calculations Part 2","nAFQgAEK6Uc","https://www.youtube.com/watch?v=nAFQgAEK6Uc","module-04","9","module-04","9","Retained","Progress from conduit and capacity to cable construction, glanding and installation methods.",""
"p04-l10","How to Calculate Trunking Capacity (Size). How Many PVC Single Cables can we Install in a Trunking.","-2DRkpDUo9E","https://www.youtube.com/watch?v=-2DRkpDUo9E","module-04","10","module-04","10","Retained","Progress from conduit and capacity to cable construction, glanding and installation methods.",""
"p04-l11","SWA Cable Conductors - Construction and Colours","oANZOsbGisk","https://www.youtube.com/watch?v=oANZOsbGisk","module-04","11","module-04","11","Retained","Progress from conduit and capacity to cable construction, glanding and installation methods.",""
"p04-l12","Parts of a SWA Cable Gland - BW and CW - Electrical Wiring","XcM7hL6mO8k","https://www.youtube.com/watch?v=XcM7hL6mO8k","module-04","12","module-04","12","Retained","Progress from conduit and capacity to cable construction, glanding and installation methods.",""
"p16-l03","Cable Lugs: They Look Right. They Are Not.","rxOEQD9KaE8","https://www.youtube.com/watch?v=rxOEQD9KaE8","module-16","3","module-04","13","Relocated","Progress from conduit and capacity to cable construction, glanding and installation methods.",""
"p04-l13","How to Make off a SWA Cable Gland (Steel Wire Armored Cable) Step By Step Demonstration","WQuoQvppvRQ","https://www.youtube.com/watch?v=WQuoQvppvRQ","module-04","13","module-04","14","Retained; resequenced","Progress from conduit and capacity to cable construction, glanding and installation methods.",""
"p04-l14","SWA Cable Different ways Fixing SWA Cable, Maximum Clipping Distances, Bending & Catenary Wires Pt3","lIgQKu_A5UE","https://www.youtube.com/watch?v=lIgQKu_A5UE","module-04","14","module-04","15","Retained; resequenced","Progress from conduit and capacity to cable construction, glanding and installation methods.",""
"p04-l15","SY Cable or SY Flex How to Terminate, Make Off Step by Step Practical Demonstration of Connecting","7S00Qg5nwPA","https://www.youtube.com/watch?v=7S00Qg5nwPA","module-04","15","module-04","16","Retained; resequenced","Progress from conduit and capacity to cable construction, glanding and installation methods.",""
"p04-l16","MICC Cable (Pyro) Part 1 Construction of Cable, Sheath Colours, Clipping and Bending","6Xqn3N8zvQQ","https://www.youtube.com/watch?v=6Xqn3N8zvQQ","module-04","16","module-04","17","Retained; resequenced","Progress from conduit and capacity to cable construction, glanding and installation methods.",""
"p04-l17","How to Terminate MICC Cable and put on the Shroud, Gland Body and Pot (Make off Pyro or MI Cable)","hFTuGGLLoas","https://www.youtube.com/watch?v=hFTuGGLLoas","module-04","17","module-04","18","Retained; resequenced","Progress from conduit and capacity to cable construction, glanding and installation methods.",""
"p04-l18","Conduit Loop-in Method for Wiring Lighting Circuits in PVC Singles in Conduit (How to Full Demo)","tURG2VZd56w","https://www.youtube.com/watch?v=tURG2VZd56w","module-04","18","module-04","19","Retained; resequenced","Progress from conduit and capacity to cable construction, glanding and installation methods.",""
"p05-l01","Short Circuit, Earth Fault or Overload : Which One's Worse?","oxU-KJyKZ4s","https://www.youtube.com/watch?v=oxU-KJyKZ4s","module-05","1","module-05","1","Retained","Connect fault types, earthing, disconnection, device selection and surge protection.",""
"p05-l08","Understanding Earthing Arrangements - TNCS, TT, TNS","NdVm9JPi06U","https://www.youtube.com/watch?v=NdVm9JPi06U","module-05","8","module-05","2","Retained; resequenced","Connect fault types, earthing, disconnection, device selection and surge protection.",""
"p05-l10","Small Earth Wire: Does Size Matter?","GKdW9H_5NA4","https://www.youtube.com/watch?v=GKdW9H_5NA4","module-05","10","module-05","3","Retained; resequenced","Connect fault types, earthing, disconnection, device selection and surge protection.",""
"p05-l02","Fuses: When Breaking Something Is a GOOD Thing! 💥","iHjWlO0JKyQ","https://www.youtube.com/watch?v=iHjWlO0JKyQ","module-05","2","module-05","4","Retained; resequenced","Connect fault types, earthing, disconnection, device selection and surge protection.",""
"p05-l03","The Complete Guide to MCBs - Miniature Circuit Breakers","iVZhVeFoSfk","https://www.youtube.com/watch?v=iVZhVeFoSfk","module-05","3","module-05","5","Retained; resequenced","Connect fault types, earthing, disconnection, device selection and surge protection.",""
"p05-l04","The Complete Guide To RCDs - Residual Current Devices","bXS-uNxeTXo","https://www.youtube.com/watch?v=bXS-uNxeTXo","module-05","4","module-05","6","Retained; resequenced","Connect fault types, earthing, disconnection, device selection and surge protection.",""
"p05-l05","Why won't an MCB reset? What's the difference between TYPE B and TYPE C MCBs?","sYDsESq5q9c","https://www.youtube.com/watch?v=sYDsESq5q9c","module-05","5","module-05","7","Retained; resequenced","Connect fault types, earthing, disconnection, device selection and surge protection.",""
"p05-l06","Automatic Disconnection of Supply Explain - ADS","SmUUKo22MKE","https://www.youtube.com/watch?v=SmUUKo22MKE","module-05","6","module-05","8","Retained; resequenced","Connect fault types, earthing, disconnection, device selection and surge protection.",""
"p05-l07","Earth Fault Loop Impedance Path Explained Zs = Ze + (R1 + R2) Earthing Arrangements TN-S & TN-C-S","24Yjts1817E","https://www.youtube.com/watch?v=24Yjts1817E","module-05","7","module-05","9","Retained; resequenced","Connect fault types, earthing, disconnection, device selection and surge protection.",""
"p05-l11","How to Calculate Total Earth Fault Loop Impedance - Applying a Temperature Factor to R1 + R2","jF5Gf04GnlA","https://www.youtube.com/watch?v=jF5Gf04GnlA","module-05","11","module-05","10","Retained; resequenced","Connect fault types, earthing, disconnection, device selection and surge protection.",""
"p05-l12","How to Calculate Total Earth Fault Loop Impedance Part 2 - Applying a Temperature Factor to R1 + R2","kgZvjl4A1sE","https://www.youtube.com/watch?v=kgZvjl4A1sE","module-05","12","module-05","11","Retained; resequenced","Connect fault types, earthing, disconnection, device selection and surge protection.",""
"p05-l13","Electrical Design: Calculating Earth Fault Loop Impedance","q3rSnVEJ7kA","https://www.youtube.com/watch?v=q3rSnVEJ7kA","module-05","13","module-05","12","Retained; resequenced","Connect fault types, earthing, disconnection, device selection and surge protection.",""
"p05-l14","Electricians' Guide: Circuit Protective Device Selection","y5mQPAHajQI","https://www.youtube.com/watch?v=y5mQPAHajQI","module-05","14","module-05","13","Retained; resequenced","Connect fault types, earthing, disconnection, device selection and surge protection.",""
"p05-l15","RCDs & Earth Fault Loop Impedance: The Hidden Connection!","2ClZKN1Qxaw","https://www.youtube.com/watch?v=2ClZKN1Qxaw","module-05","15","module-05","14","Retained; resequenced","Connect fault types, earthing, disconnection, device selection and surge protection.",""
"p05-spd","Surge Protection: What an SPD Test Can Tell You","N-ocwOCoPfE","https://www.youtube.com/watch?v=N-ocwOCoPfE","","","module-05","15","Added","Connect fault types, earthing, disconnection, device selection and surge protection.","Put the SPD demonstration into the protection system"
"p07-l01","An Introduction to Three Phase Systems Using the Matrix Locktronics Kit","NhLzjDJFuvk","https://www.youtube.com/watch?v=NhLzjDJFuvk","module-07","1","module-06","1","Relocated","Learn phase relationships before calculating demand, cable capacity, voltage drop and fault ratings.",""
"p07-l02","3 Phase: Star Connected Loads, How to Calculate Line and Phase Voltage & Line and Phase Current","rB1NafJ6XPk","https://www.youtube.com/watch?v=rB1NafJ6XPk","module-07","2","module-06","2","Relocated","Learn phase relationships before calculating demand, cable capacity, voltage drop and fault ratings.",""
"p07-l03","3 Phase: Delta Connected Loads, How to Calculate Line and Phase Voltage & Line and Phase Current","7slCHGpfHtg","https://www.youtube.com/watch?v=7slCHGpfHtg","module-07","3","module-06","3","Relocated","Learn phase relationships before calculating demand, cable capacity, voltage drop and fault ratings.",""
"p07-l04","Three Phase Mystery Solved, No Neutral Required in a Balanced Load?","WZ4GG4GuSfQ","https://www.youtube.com/watch?v=WZ4GG4GuSfQ","module-07","4","module-06","4","Relocated","Learn phase relationships before calculating demand, cable capacity, voltage drop and fault ratings.","When the neutral-current shortcut stops working"
"p07-l05","The Easiest Most Accurate Way to Calculate Three Phase Neutral Current in an Unbalanced Load","ExHJGSJSE6o","https://www.youtube.com/watch?v=ExHJGSJSE6o","module-07","5","module-06","5","Relocated","Learn phase relationships before calculating demand, cable capacity, voltage drop and fault ratings.",""
"p06-l13","3 Phase: How to Calculate Line Voltage, Phase Voltage, Line Current & Phase Current in Star & Delta","ky7cs1NYvCI","https://www.youtube.com/watch?v=ky7cs1NYvCI","module-06","13","module-06","6","Retained; resequenced","Learn phase relationships before calculating demand, cable capacity, voltage drop and fault ratings.","Connect line quantities to total three-phase power"
"p06-l01","Mastering Electrical Design - Don't Miss This Step!","rgh_0rxX61s","https://www.youtube.com/watch?v=rgh_0rxX61s","module-06","1","module-06","7","Retained; resequenced","Learn phase relationships before calculating demand, cable capacity, voltage drop and fault ratings.",""
"p06-l11","Maximum Demand and Diversity Calculation Explained - BS 7671 On-Site Guide Appendix A","lGcsQ8mLI34","https://www.youtube.com/watch?v=lGcsQ8mLI34","module-06","11","module-06","8","Retained; resequenced","Learn phase relationships before calculating demand, cable capacity, voltage drop and fault ratings.",""
"p06-l12","The Problem With Standard Maximum Demand Methods","PnagUPuFlak","https://www.youtube.com/watch?v=PnagUPuFlak","module-06","12","module-06","9","Retained; resequenced","Learn phase relationships before calculating demand, cable capacity, voltage drop and fault ratings.",""
"p06-l02","Electrical Design - Calculating Circuit Current","GyQkZnvc9jg","https://www.youtube.com/watch?v=GyQkZnvc9jg","module-06","2","module-06","10","Retained; resequenced","Learn phase relationships before calculating demand, cable capacity, voltage drop and fault ratings.",""
"p06-l03","How to Transpose the Power Formula to Calculate Design Current","yQLL1k6vT3s","https://www.youtube.com/watch?v=yQLL1k6vT3s","module-06","3","module-06","11","Retained; resequenced","Learn phase relationships before calculating demand, cable capacity, voltage drop and fault ratings.",""
"p06-l06","How to Calculate the Resistance of a Conductor Based on Resistivity, Length and Cross-Sectional Area","eJzgj9oHA3E","https://www.youtube.com/watch?v=eJzgj9oHA3E","module-06","6","module-06","12","Retained; resequenced","Learn phase relationships before calculating demand, cable capacity, voltage drop and fault ratings.",""
"p06-l04","How To Choose The Correct Cable Size","uxowSpL-cKM","https://www.youtube.com/watch?v=uxowSpL-cKM","module-06","4","module-06","13","Retained; resequenced","Learn phase relationships before calculating demand, cable capacity, voltage drop and fault ratings.",""
"p06-l10","ELECTRICIANS Q&A: CABLE TRAY GROUPING FACTOR CALCULATIONS","FRsUKYAKpLY","https://www.youtube.com/watch?v=FRsUKYAKpLY","module-06","10","module-06","14","Retained; resequenced","Learn phase relationships before calculating demand, cable capacity, voltage drop and fault ratings.",""
