channel_index,video_id,title,published_at,status,language,caption_kind,track,strategy,output_file,sha256,error_class,error
"11","8Z255dd78H4","CABLE SIZE SELECTION AND THE OSG – BS7671 – ON SITE GUIDE – MATCHING CABLE AND CIRCUIT BREAKER SIZES","2024-08-11T06:00:05Z","fetched","en","asr","en-asr","IOS","transcripts/2024-08-11 - CABLE SIZE SELECTION AND THE OSG – BS7671 – ON SITE GUIDE – MATCHING CABLE AND CIRCUIT BREAKER SIZES.txt","ad4fd78049c056784e5f29b8220e3bb627b9531af4bd3bf49b14d8d9ef4d867c","",""
"12","NIrKOVZrqnU","Power Factor Explained – Your Electricity Bill Money Drain (Reactive Power)","2025-02-05T19:19:33Z","fetched","en","asr","en-asr","IOS","transcripts/2025-02-05 - Power Factor Explained – Your Electricity Bill Money Drain (Reactive Power).txt","3e6545e42414a74f33224d4afd0372469897b360e4fd4d4e9538bb4777bef7ec","",""
"13","XbL0R_9KLD4","How to read a Motor Nameplate (IEC standard)","2021-02-16T19:02:41Z","fetched","en","asr","en-asr","ANDROID","transcripts/2021-02-16 - How to read a Motor Nameplate (IEC standard).txt","29f6a5b8ed74fa1e1f23ffe763db43c9bb40c760122bab001083e093acc95bdd","",""
"14","HFkTPmY7N7w","How Do Direct On Line Motor (DOL) Starters Work?","2024-06-04T15:29:56Z","fetched","en","manual","en-manual","IOS","transcripts/2024-06-04 - How Do Direct On Line Motor (DOL) Starters Work_.txt","e8109e47170363e7797b13e1d4ec14f4b0a0488d5c993c43e83d05159f57242d","",""
"15","wQwGZMcDGXk","What is MPCB | MPCB Vs MCB | Motor Protection Circuit Breaker @the Electrical Guy","2022-04-12T03:00:17Z","fetched","en","asr","en-asr","IOS","transcripts/2022-04-12 - What is MPCB _ MPCB Vs MCB _ Motor Protection Circuit Breaker @the Electrical Guy.txt","d6c2358cc8c745376b4422eb0e5c89ae4ea5d3e081fe6bcfee608dc1ae0472f3","",""
"16","lIit5k8QVj8","What Every Electricity Professional Needs to Know About Arc Fault Devices | Schneider Electric","2024-03-19T08:21:39Z","fetched","en","manual","en-manual","IOS","transcripts/2024-03-19 - What Every Electricity Professional Needs to Know About Arc Fault Devices _ Schneider Electric.txt","e3193dceb00761f124cf0927ca85e612218f73ffe35d3cf0ebed4f6abacba113","",""
"17","V6WR_TBf1AU","Circuit Breaker Selective Coordination Common Questions and Misconceptions","2022-07-01T21:00:21Z","fetched","en","asr","en-asr","IOS","transcripts/2022-07-01 - Circuit Breaker Selective Coordination Common Questions and Misconceptions.txt","cffda3b8bb9d1f5ca496ef6095234a163d2277648e86e000efc83b4adeb00f55","",""
"18","At7AnMV7Xd0","Radial Circuits","2016-06-17T15:00:00Z","fetched","en","asr","en-asr","IOS","transcripts/2016-06-17 - Radial Circuits.txt","7ba7560e1f18b2228f4c8ed7a0788b9548af3ea607c8197a007e14c7e8befec4","",""
"19","hZN6hiGLtrE","UK Ring Circuits (previously Ring Mains) for Socket Outlets","2016-06-18T15:00:03Z","fetched","en","asr","en-asr","IOS","transcripts/2016-06-18 - UK Ring Circuits (previously Ring Mains) for Socket Outlets.txt","b1e4f74714d1e90ac92b117f9423fc9a3b9691ad60c77bdd47806260fe9878d5","",""
"20","_tGyaE78WTA","What is a Soft Starter? from AutomationDirect","2026-03-12T18:59:55Z","fetched","en-US","manual","en-US-manual","IOS","transcripts/2026-03-12 - What is a Soft Starter_ from AutomationDirect.txt","42b9b356ef8f7650a1c1e9ebc389e17eb82d4da49d2413a343b75cbaff4e2a1f","",""
"21","igi8F6UAvh0","How to use a phase rotation meter? 👷🏽‍♂️","2022-02-15T02:58:16Z","fetched","en","asr","en-asr","IOS","transcripts/2022-02-15 - How to use a phase rotation meter_ 👷🏽‍♂️.txt","e31422f943cc666cc0e1b919175a5aab4fa4e5f9c960b4d1d5a317f611bbab30","",""
